901:        55 steps          53761 total steps
902:        55 steps          53816 total steps
903:        117 steps          53933 total steps
904:        16 steps          53949 total steps
905:        68 steps          54017 total steps
906:        16 steps          54033 total steps
907:        55 steps          54088 total steps
908:        16 steps          54104 total steps
909:        16 steps          54120 total steps
910:        42 steps          54162 total steps
911:        42 steps          54204 total steps
912:        37 steps          54241 total steps
913:        130 steps          54371 total steps
914:        130 steps          54501 total steps
915:        130 steps          54631 total steps
916:        37 steps          54668 total steps
917:        37 steps          54705 total steps
918:        130 steps          54835 total steps
919:        130 steps          54965 total steps
920:        37 steps          55002 total steps
921:        130 steps          55132 total steps
922:        37 steps          55169 total steps
923:        68 steps          55237 total steps
924:        130 steps          55367 total steps
925:        130 steps          55497 total steps
926:        130 steps          55627 total steps
927:        117 steps          55744 total steps
928:        24 steps          55768 total steps
929:        130 steps          55898 total steps
930:        37 steps          55935 total steps
931:        37 steps          55972 total steps
932:        86 steps          56058 total steps
933:        86 steps          56144 total steps
934:        86 steps          56230 total steps
935:        130 steps          56360 total steps
936:        24 steps          56384 total steps
